employee_id,original_employee_id,manager_id,first_name,last_name,department,job_title,employee_status,hire_date,termination_date,years_of_service,gender,salary,employment_status,employee_type,education_level,performance_rating,work_location,date_of_birth,age,work_shift,job_required_skills,additional_employee_skills,employee_skills,job_required_certification,employee_certification,benefits_enrollment_clean,estimated_work_experience_years
E0001,6612,E0488,Martha,Hutchinson,Finance,Administrator,Active,4/6/2023,,3.3,Male,77367,Part-time,Regular,Master's Degree,3,Hollandberg,11/14/1970,55,First Shift,Financial Analysis | Budgeting | Excel,Process Improvement,Financial Analysis | Budgeting | Excel | Process Improvement,Financial Modeling Certification,Financial Modeling Certification,Medical | Retirement,33
E0002,4793,E0096,Meghan,Cervantes,Finance,Mental health nurse,Active,5/26/2022,,4.1,Non-Binary,81869,Full-time,Temporary,PhD,4,East Sabrinafurt,8/20/1992,33,First Shift,Financial Analysis | Budgeting | Excel,Coaching,Financial Analysis | Budgeting | Excel | Coaching,Financial Modeling Certification,None,Medical | Dental | Vision | Retirement,11
E0003,8832,E0267,April,Hanna,Finance,Field seismologist,Active,6/11/2020,,6.1,Male,97907,Part-time,Temporary,PhD,4,New Garyfurt,4/17/1986,40,First Shift,Financial Analysis | Budgeting | Excel,Leadership,Financial Analysis | Budgeting | Excel | Leadership,Financial Modeling Certification,Financial Modeling Certification,Medical | Retirement,18
E0004,7044,E0510,George,Yang,Engineering,"Nurse, children's",On Leave,11/25/2020,,5.6,Non-Binary,110034,Part-time,Regular,PhD,2,Christophermouth,3/15/2001,25,Second Shift,Technical Design | Project Management | Problem Solving,Process Improvement,Technical Design | Project Management | Problem Solving | Process Improvement,Six Sigma Green Belt,None,Medical | Retirement,3
E0005,4498,E0633,Joseph,Patrick,Engineering,Meteorologist,Terminated,1/12/2021,9/12/2024,3.7,Male,70091,Contractor,Contract,Bachelor's Degree,4,South Jamestown,10/9/1998,27,Third Shift,Technical Design | Project Management | Problem Solving,Presentation Skills,Technical Design | Project Management | Problem Solving | Presentation Skills,Six Sigma Green Belt,Six Sigma Green Belt,None,5
E0006,4037,E0341,Spencer,White,Engineering,"Scientist, forensic",Active,12/16/2021,,4.6,Female,116054,Part-time,Regular,Bachelor's Degree,5,North Johnberg,7/23/1988,37,First Shift,Technical Design | Project Management | Problem Solving,Presentation Skills,Technical Design | Project Management | Problem Solving | Presentation Skills,Six Sigma Green Belt,None,Medical | Retirement,15
E0007,6312,E0546,Angela,Arellano,IT,"Programmer, multimedia",On Leave,5/6/2023,,3.2,Male,103163,Full-time,Temporary,Bachelor's Degree,1,Johnsonfurt,2/14/1966,60,Second Shift,Technical Support | SQL | Cybersecurity,Negotiation,Technical Support | SQL | Cybersecurity | Negotiation,CompTIA A+,CompTIA A+,Medical | Dental | Vision | Retirement,38
E0008,3872,E0616,Willie,Hernandez,IT,Horticultural consultant,Terminated,4/27/2023,1/10/2024,0.7,Male,71454,Contractor,Temporary,PhD,5,Chloechester,6/2/1969,57,Second Shift,Technical Support | SQL | Cybersecurity,Data Analysis,Technical Support | SQL | Cybersecurity | Data Analysis,CompTIA A+,None,None,35
E0009,9353,E0017,Jose,Campbell,IT,Osteopath,Active,9/28/2020,,5.8,Male,55130,Full-time,Contract,High School,2,East Megan,3/23/1980,46,First Shift,Technical Support | SQL | Cybersecurity,Technical Writing,Technical Support | SQL | Cybersecurity | Technical Writing,CompTIA A+,CompTIA A+,Medical | Dental | Vision | Retirement,24
E0010,8989,E0820,Robert,Adams,Marketing,Forest/woodland manager,Terminated,8/7/2020,12/17/2020,0.4,Female,97658,Contractor,Temporary,High School,3,East Marioborough,2/10/1984,42,First Shift,Digital Marketing | Content Development | Market Research,Negotiation,Digital Marketing | Content Development | Market Research | Negotiation,Google Analytics Certification,None,None,20
E0011,4625,E0023,Richard,Gamble,Engineering,Broadcast engineer,On Leave,1/26/2021,,5.5,Female,76496,Contractor,Temporary,High School,4,Deniseside,8/10/1959,66,Second Shift,Technical Design | Project Management | Problem Solving,Conflict Resolution,Technical Design | Project Management | Problem Solving | Conflict Resolution,Six Sigma Green Belt,Six Sigma Green Belt,None,44
