,employee_id,name,gender,dates_of_birth,email,phone_number,address,department,job_titles,manager_id,hire_date,salary,employment_status,employee_type,education_level,certifications,skills,performance_ratings,work_experience,benefits_enrollment,city,work_hours,employee_status,emergency_contacts
0,6612,Martha Hutchinson,Male,11/14/1970,randy09@example.net,708-895-4293x86180,"5301 Norman Flats Apt. 965
North Darrell, PW 86451",Finance,Administrator,10,4/6/2023,77367,Part-time,Regular,Master's Degree,team,"senior, kitchen, president, call, station",3,Receive determine pass find. Authority laugh raise firm instead task when.,"data, cell, people",Hollandberg,9-5,Active,Alicia Payne: 001-469-835-3679x07176
1,4793,Meghan Cervantes,Non-Binary,8/20/1992,matthewsnyder@example.com,001-727-813-2133x30484,"7917 Vincent Trafficway Apt. 254
Hallhaven, DE 42526",Finance,Mental health nurse,8,5/26/2022,81869,Full-time,Temporary,PhD,"whether, some, measure","perhaps, knowledge, officer",4,Prevent meet bill computer upon keep receive. Strong again more teach magazine.,"appear, discover",East Sabrinafurt,5-Sep,Active,Brandy Lopez: +1-642-314-0561x6900
2,8832,April Hanna,Male,4/17/1986,lwood@example.net,+1-758-402-2437x248,"646 Courtney Hollow
South Marc, LA 67617",Finance,Field seismologist,6,6/11/2020,97907,Part-time,Temporary,PhD,"job, week","tend, official, red",4,Necessary Congress real.,"stop, woman",New Garyfurt,5-Sep,Active,Craig Rivera: 267.574.5240x08971
3,7044,George Yang,Non-Binary,3/15/2001,ellen93@example.net,001-682-318-3829x45513,"3930 Kelly Wells Apt. 574
Paulton, OR 22142",Engineering,"Nurse, children's",5,11/25/2020,110034,Part-time,Regular,PhD,"position, similar","question, their, health, single, whole",2,Yard whose different trade. Free foreign question reality else.,"product, either",Christophermouth,8-Dec,On Leave,Lauren Davis: 423.534.7439
4,4498,Joseph Patrick,Male,10/9/1998,patriciacollins@example.net,001-790-812-0148x64174,"0493 Lane Avenue
Smithburgh, IN 65374",Engineering,Meteorologist,2,1/12/2021,70091,Contractor,Contract,Bachelor's Degree,"table, seem","how, government, finally, east, strong",4,Agreement tax chair strategy bring kid assume president. Not support soon pretty positive.,"gas, commercial",South Jamestown,Night Shift,Terminated,Antonio Ferguson: +1-425-489-9331
5,4037,Spencer White,Female,7/23/1988,stephenclark@example.org,+1-478-684-9392x3837,"255 Stone Isle
South Tanya, DC 71101",Engineering,"Scientist, forensic",10,12/16/2021,116054,Part-time,Regular,Bachelor's Degree,"sure, street","whether, cold, soon",5,Leg finally meet whether.,most,North Johnberg,5-Sep,Active,Mark Young: +1-570-630-4531
6,6312,Angela Arellano,Male,2/14/1966,cherylchavez@example.org,683-575-4182x72317,"7344 Robert Meadow
Port Amy, KS 57620",IT,"Programmer, multimedia",3,5/6/2023,103163,Full-time,Temporary,Bachelor's Degree,safe,"situation, set, next, imagine, partner",1,Year fly since nor. Movement heart test then away.,quickly,Johnsonfurt,8-Dec,On Leave,Mrs. Jennifer Ryan: +1-690-972-8320x86989
7,3872,Willie Hernandez,Male,6/2/1969,brianthompson@example.org,-10168,"8165 Kyle Union Apt. 592
West Catherine, CT 38394",IT,Horticultural consultant,5,4/27/2023,71454,Contractor,Temporary,PhD,"quality, thing, nature","get, consider, but",5,Thus political reality generation.,"president, number, then",Chloechester,8-Dec,Terminated,Laura Levine: 423.751.4094
8,9353,Jose Campbell,Male,3/23/1980,torresmichelle@example.org,001-689-786-5445x18374,"USNV Singh
FPO AE 85313",IT,Osteopath,10,9/28/2020,55130,Full-time,Contract,High School,"campaign, choose","yes, affect, officer, class",2,Get bed local public similar create.,sea,East Megan,5-Sep,Active,Jonathan Jones: +1-807-683-5561
9,8989,Robert Adams,Female,2/10/1984,johnsondebra@example.net,682.445.2881,"273 Roy Lock
West Davidberg, KS 00849",Marketing,Forest/woodland manager,2,8/7/2020,97658,Contractor,Temporary,High School,yard,"card, size, rise, admit, plant",3,Strong often accept stop administration system.,"game, north, open",East Marioborough,5-Sep,Terminated,Patrick Garcia: 4678860376
